,date,3001410_hrf,9000121_hrf,9000117_hrf,9000079_hrf,3013440_hrf,3013430_hrf,3013420_hrf,3012425_hrf,3007479_hrf,3011430_hrf,3009420_hrf,3009410_hrf,3008460_hrf,3008420_hrf,3007483_hrf,3007477_hrf,3007460_hrf,3007455_hrf,3007450_hrf,3007440_hrf,3007435_hrf,3007430_hrf,3007425_hrf,3005454_hrf,3005450_hrf,3003454_hrf,3003452_hrf,3003420_hrf,3001442_hrf,3007481_hrf,2010434_hrf,3003430_hrf,3003431_hrf,3003450_hrf,3004430_hrf,3004440_hrf,3005430_hrf,3005440_hrf,3007470_hrf,3007475_hrf,3007487_hrf,3008430_hrf,3008440_hrf,3008450_hrf,9000016_hrf,9000017_hrf,9000018_hrf,9000019_hrf,2008430_hrf,8000636_hrf,8000641_hrf,8000642_hrf,8000643_hrf,8000647_hrf,8000648_hrf,8000659_hrf,8000701_hrf,1004410_hrf,1004430_hrf,9000027_hrf,9000029_hrf,8000133_hrf,8000135_hrf,8000226_hrf,8000238_hrf,8000604_hrf,8000605_hrf,8000734_hrf,8000735_hrf,8000757_hrf,8000758_hrf,8000809_hrf,8000821_hrf,8000834_hrf,9000133_hrf,8000314_hrf,8000625_hrf,8000626_hrf,8000025_hwl,8000039_hwl,8000041_hwl,8000050_hwl,8000058_hwl,8000065_hwl,9000218_hwl,3005690_hwl,3006680_hwl,3007610_hwl,3007620_hwl,3007640_hwl,3007650_hwl,3007655_hwl,3007660_hwl,3007670_hwl,3008666_hwl,3008670_hwl,3009670_hwl,3009675_hwl,3009678_hwl,3009680_hwl,3009684_hwl,3009688_hwl,3013660_hwl,3002650_hwl,3002655_hwl,3003620_hwl,3003660_hwl,3003680_hwl,3004620_hwl,3004630_hwl,3004650_hwl,3004670_hwl,3004690_hwl,3005667_hwl,ydd_hrf,ydd_hinfw,ydd_hrel,mjd_hrf,mjd_hinfw,mjd_hrel
75897,2023-05-29 09:00:00,23.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,5.0,2.0,0.0,3.0,2.0,1.0,3.0,7.0,9.0,0.0,6.0,3.0,4.0,1.0,1.0,9.0,9.0,10.0,7.0,6.0,7.0,2.0,8.0,7.0,9.0,9.0,3.0,11.0,9.0,10.0,1.0,11.0,3.0,1.0,5.0,5.0,10.0,2.0,10.0,3.0,3.0,0.0,0.0,1.5,2.5,10.0,0.5,0.0,7.5,1.0,1.0,24.0,5.0,0.2,9.3,3.3,4.2,5.0,10.5,7.1,10.0,4.0,18.0,9.0,9.0,6.5,1.0,17.0,1.0,6.5,2.23,0.87,0.98,1.78,1.84,1.42,1.49,0.94,0.66,1.37,1.24,0.63,1.97,2.57,1.59,0.91,1.39,3.11,1.99,0.36,1.45,0.92,0.9,1.73,2.61,203.98,0.85,1.26,1.91,0.93,0.94,1.29,1.18,1.48,1.5,1.72,11.4042,521.139,8.644,9.0,0.0,0.0
75898,2023-05-29 10:00:00,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,6.0,3.0,6.0,4.0,1.0,3.0,6.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.5,0.0,2.5,1.0,3.0,6.0,3.0,0.5,4.6,0.5,2.3,0.0,3.0,5.8,6.0,3.5,7.0,3.5,4.0,1.5,2.0,14.0,1.0,0.5,2.37,0.8,1.44,1.88,1.98,1.46,1.63,1.01,0.74,1.35,1.23,0.63,1.98,2.56,1.72,0.98,1.41,3.2,2.04,0.39,1.51,1.0,0.82,1.72,2.56,203.98,0.85,1.41,2.27,1.1,1.05,1.35,1.48,1.51,1.75,1.76,9.6878,692.897,8.644,2.0,0.0,0.0
75899,2023-05-29 11:00:00,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,5.0,3.0,3.0,1.0,4.0,3.0,5.0,4.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,5.0,1.0,1.0,7.0,4.0,0.0,1.7,0.5,1.6,0.5,0.5,4.9,4.0,4.5,9.0,2.5,1.0,0.5,1.0,6.0,1.0,0.5,2.27,0.77,1.74,1.8,1.99,1.38,1.73,1.07,0.83,1.33,1.21,0.63,1.97,2.54,1.88,1.09,1.49,3.12,2.07,0.4,1.41,1.06,0.83,1.76,2.42,203.98,0.85,1.44,2.53,1.29,1.29,1.36,1.74,1.47,2.03,1.85,9.0959,773.594,8.655,4.5,0.0,12.047
75900,2023-05-29 12:00:00,5.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,2.0,4.0,4.0,0.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,0.5,0.5,0.5,0.5,2.5,0.0,0.0,2.5,0.0,0.0,5.0,3.0,0.1,1.1,0.1,1.9,0.0,2.5,2.4,3.0,2.5,5.5,3.5,1.0,0.5,1.0,6.0,0.0,0.5,2.23,0.71,1.81,1.72,1.93,1.35,1.76,1.12,1.02,1.3,1.2,0.63,1.95,2.52,1.99,1.24,1.75,3.04,2.24,0.42,2.15,1.08,0.92,1.81,2.26,203.97,0.85,1.43,2.73,1.46,1.68,1.34,1.86,1.39,2.34,1.88,8.3339,842.095,8.664,2.5,0.0,58.718
75901,2023-05-29 13:00:00,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.1,2.3,0.1,1.7,0.5,3.0,0.6,3.5,0.5,3.0,4.0,2.0,0.5,0.0,3.5,0.5,0.0,2.17,0.69,1.75,1.63,1.84,1.55,1.8,1.21,1.3,1.28,1.16,0.62,1.94,2.48,2.03,1.35,1.64,2.97,2.34,0.48,2.25,1.35,0.94,1.84,2.12,203.97,0.85,1.4,2.82,1.65,2.01,1.35,1.83,1.32,2.61,1.88,1.499,908.071,8.697,2.0,0.0,57.976
75902,2023-05-29 14:00:00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,0.5,0.0,0.0,2.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.1,2.7,0.2,0.2,1.0,2.5,1.9,1.0,1.5,0.0,1.5,3.0,1.0,0.0,0.5,0.0,1.0,2.07,0.68,1.67,1.59,1.77,1.52,2.04,1.37,1.64,1.26,1.14,0.62,1.92,2.44,2.03,1.4,1.54,2.9,2.38,0.54,2.21,1.48,1.08,2.01,2.0,203.96,0.85,1.37,2.84,1.68,2.1,1.33,1.74,1.25,2.82,1.85,0.5904,915.08,8.712,1.0,0.0,56.491
75903,2023-05-29 15:00:00,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,4.0,0.0,4.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,5.0,0.0,0.0,2.0,5.0,0.0,0.9,0.0,0.3,0.0,0.0,4.1,1.5,4.5,2.5,1.5,2.0,0.0,0.0,2.5,0.0,0.0,1.97,0.66,1.62,1.52,1.69,1.48,2.65,1.5,1.99,1.24,1.11,0.62,1.88,2.38,2.03,1.42,1.45,2.84,2.37,0.55,2.15,1.49,1.38,2.18,1.9,203.96,0.85,1.34,2.74,1.64,2.3,1.3,1.71,1.21,2.89,1.81,3.3778,814.485,8.73,2.5,0.0,54.154
75904,2023-05-29 16:00:00,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,4.0,5.0,2.0,0.0,6.0,5.0,5.0,6.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,4.5,0.0,0.0,5.0,2.0,0.0,0.5,0.0,4.1,0.0,2.5,1.0,6.5,2.0,6.0,6.0,1.5,0.0,0.0,7.5,0.5,0.0,1.88,0.65,1.58,1.46,1.63,1.45,2.96,1.58,2.24,1.22,1.09,0.61,1.84,2.32,2.01,1.41,1.37,2.79,2.32,0.54,2.07,1.47,1.53,2.22,1.83,203.97,0.85,1.33,2.69,1.56,2.37,1.28,1.8,1.17,2.87,1.79,5.0161,697.134,8.749,5.5,0.0,27.474
75905,2023-05-29 17:00:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,4.0,1.0,3.5,5.0,0.5,0.0,0.0,5.5,0.0,0.0,1.79,0.64,1.55,1.42,1.58,1.43,3.1,1.67,2.35,1.2,1.07,0.61,1.81,2.27,1.99,1.4,1.31,2.77,2.27,0.51,2.01,1.4,1.58,2.21,1.76,203.96,0.85,1.34,2.62,1.49,2.35,1.26,2.11,1.14,2.82,1.76,1.8906,650.254,8.742,1.5,0.0,27.474
75906,2023-05-29 18:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.73,0.63,1.49,1.38,1.53,1.39,3.16,1.7,2.39,1.18,1.04,0.61,1.77,2.22,1.97,1.38,1.25,2.73,2.19,0.48,1.95,1.37,1.57,2.18,1.7,203.96,0.85,1.36,2.58,1.46,2.32,1.25,2.35,1.11,2.8,1.73,0.5757,551.495,8.749,0.0,0.0,28.642
75907,2023-05-29 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.63,1.47,1.34,1.5,1.38,3.15,1.69,2.4,1.16,1.03,0.6,1.74,2.17,1.93,1.35,1.19,2.69,2.12,0.45,1.83,1.3,1.51,2.13,1.65,203.96,0.85,1.37,2.53,1.43,2.24,1.23,2.46,1.07,2.92,1.68,0.25,528.326,8.769,0.0,0.0,29.739
75908,2023-05-29 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.62,1.44,1.31,1.46,1.35,3.09,1.66,2.43,1.15,1.01,0.6,1.71,2.12,1.9,1.32,1.15,2.64,2.06,0.42,1.85,1.25,1.43,2.08,1.6,203.95,0.85,1.35,2.51,1.43,2.14,1.21,2.47,1.05,3.17,1.64,0.1351,463.613,8.779,0.0,0.0,30.448
