HWL_CODE,WLOBS_CD
8000025_hwl,8000025
8000039_hwl,8000039
8000041_hwl,8000041
8000050_hwl,8000050
8000058_hwl,8000058
8000065_hwl,8000065
9000218_hwl,9000218
3005690_hwl,3005690
3006680_hwl,3006680
3007610_hwl,3007610
3007620_hwl,3007620
3007640_hwl,3007640
3007650_hwl,3007650
3007655_hwl,3007655
3007660_hwl,3007660
3007670_hwl,3007670
3008666_hwl,3008666
3008670_hwl,3008670
3009670_hwl,3009670
3009675_hwl,3009675
3009678_hwl,3009678
3009680_hwl,3009680
3009684_hwl,3009684
3009688_hwl,3009688
3013660_hwl,3013660
3002650_hwl,3002650
3002655_hwl,3002655
3003620_hwl,3003620
3003660_hwl,3003660
3003680_hwl,3003680
3004620_hwl,3004620
3004630_hwl,3004630
3004650_hwl,3004650
3004670_hwl,3004670
3004690_hwl,3004690
3005667_hwl,3005667
