date,ydd_hrel,3003430_hrf,3004630_hwl_AR
2014-10-01 00:00:00,9.597,0.0,
2014-10-01 01:00:00,9.628,0.0,0.87
2014-10-01 02:00:00,9.615,0.0,0.87
2014-10-01 03:00:00,9.612,0.0,0.86
2014-10-01 04:00:00,9.598,0.0,0.85
2014-10-01 05:00:00,9.622,0.0,0.86
2014-10-01 06:00:00,9.612,0.0,0.87
2014-10-01 07:00:00,9.608,0.0,0.86
2014-10-01 08:00:00,9.602,0.0,0.86
2014-10-01 09:00:00,9.613,0.0,0.86
2014-10-01 10:00:00,9.607,0.0,0.87
2014-10-01 11:00:00,9.605,0.0,0.87
2014-10-01 12:00:00,9.603,0.0,0.88
2014-10-01 13:00:00,9.617,0.0,0.86
2014-10-01 14:00:00,9.607,0.0,0.86
2014-10-01 15:00:00,9.612,0.0,0.87
2014-10-01 16:00:00,9.608,0.0,0.86
2014-10-01 17:00:00,9.618,0.0,0.87
2014-10-01 18:00:00,9.612,0.0,0.87
2014-10-01 19:00:00,9.605,0.0,0.86
2014-10-01 20:00:00,9.628,0.0,0.86
2014-10-01 21:00:00,9.627,0.0,0.85
2014-10-01 22:00:00,9.612,0.0,0.87
2014-10-01 23:00:00,9.603,0.0,0.86
2014-10-02 00:00:00,9.608,0.0,0.86
2014-10-02 01:00:00,9.607,0.0,0.85
2014-10-02 02:00:00,9.613,0.0,0.87
2014-10-02 03:00:00,9.605,0.0,0.86
2014-10-02 04:00:00,9.627,0.0,0.86
2014-10-02 05:00:00,9.618,0.0,0.87
2014-10-02 06:00:00,9.61,0.0,0.85
2014-10-02 07:00:00,9.607,0.0,0.86
2014-10-02 08:00:00,9.613,0.0,0.87
2014-10-02 09:00:00,9.603,0.0,0.87
2014-10-02 10:00:00,9.608,0.0,0.87
2014-10-02 11:00:00,9.64,0.0,0.87
2014-10-02 12:00:00,9.607,0.0,0.87
2014-10-02 13:00:00,9.597,0.0,0.85
2014-10-02 14:00:00,9.627,0.0,0.86
2014-10-02 15:00:00,9.608,0.0,0.87
2014-10-02 16:00:00,9.603,0.0,0.85
2014-10-02 17:00:00,9.608,0.0,0.87
2014-10-02 18:00:00,9.605,0.0,0.87
2014-10-02 19:00:00,9.605,0.0,0.86
2014-10-02 20:00:00,9.603,0.0,0.85
2014-10-02 21:00:00,9.608,0.0,0.86
2014-10-02 22:00:00,9.6,0.0,0.87
2014-10-02 23:00:00,9.6,0.0,0.86
2014-10-03 00:00:00,9.602,0.0,0.86
2014-10-03 01:00:00,9.605,0.0,0.85
2014-10-03 02:00:00,9.603,0.0,0.87
2014-10-03 03:00:00,9.6,0.0,0.87
2014-10-03 04:00:00,9.613,0.0,0.87
2014-10-03 05:00:00,9.613,0.0,0.85
2014-10-03 06:00:00,9.607,0.0,0.86
2014-10-03 07:00:00,9.613,0.0,0.87
2014-10-03 08:00:00,9.617,0.0,0.85
2014-10-03 09:00:00,9.608,0.0,0.86
2014-10-03 10:00:00,9.605,0.0,0.87
2014-10-03 11:00:00,9.607,0.0,0.86
2014-10-03 12:00:00,9.608,0.0,0.88
2014-10-03 13:00:00,9.605,0.0,0.87
2014-10-03 14:00:00,9.608,0.0,0.86
2014-10-03 15:00:00,9.607,0.0,0.87
2014-10-03 16:00:00,9.617,0.0,0.87
2014-10-03 17:00:00,9.6,0.0,0.85
2014-10-03 18:00:00,9.612,0.0,0.86
2014-10-03 19:00:00,9.608,0.0,0.85
2014-10-03 20:00:00,9.605,0.0,0.86
2014-10-03 21:00:00,9.608,0.0,0.85
2014-10-03 22:00:00,9.612,0.0,0.86
2014-10-03 23:00:00,9.603,0.0,0.86
2014-10-04 00:00:00,9.607,0.0,0.86
2014-10-04 01:00:00,9.603,0.0,0.85
2014-10-04 02:00:00,9.603,0.0,0.86
2014-10-04 03:00:00,9.607,0.0,0.87
2014-10-04 04:00:00,9.607,0.0,0.86
2014-10-04 05:00:00,9.605,0.0,0.86
2014-10-04 06:00:00,9.615,0.0,0.84
2014-10-04 07:00:00,9.607,0.0,0.86
2014-10-04 08:00:00,9.61,0.0,0.85
2014-10-04 09:00:00,9.617,0.0,0.86
2014-10-04 10:00:00,9.61,0.0,0.86
2014-10-04 11:00:00,9.602,0.0,0.86
2014-10-04 12:00:00,9.607,0.0,0.86
2014-10-04 13:00:00,9.607,0.0,0.88
2014-10-04 14:00:00,9.62,0.0,0.85
2014-10-04 15:00:00,9.602,0.0,0.87
